ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,MBSL06301V,SCUOLA SECONDARIA II GRADO,5,14,14,0,0,0
202425,TEEE830051,SCUOLA PRIMARIA,1,44,31,13,1,12
202425,CRPM02000E,SCUOLA SECONDARIA II GRADO,4,219,193,26,8,18
202425,NUEE86201E,SCUOLA PRIMARIA,5,15,15,0,0,0
202425,CAEE848094,SCUOLA PRIMARIA,4,8,8,0,0,0
202425,SOMM82001L,SCUOLA SECONDARIA I GRADO,3,89,80,9,0,9
202425,PEPS00601T,SCUOLA SECONDARIA II GRADO,3,59,55,4,1,3
202425,MIEE86202T,SCUOLA PRIMARIA,2,40,27,13,3,10
202425,CATF027019,SCUOLA SECONDARIA II GRADO,5,81,79,2,1,1
202425,RMEE8CC019,SCUOLA PRIMARIA,1,73,51,22,5,17
202425,CAEE824017,SCUOLA PRIMARIA,2,20,20,0,0,0
202425,MBEE8DP014,SCUOLA PRIMARIA,5,63,57,6,2,4
202425,IMEE81802D,SCUOLA PRIMARIA,5,47,38,9,2,7
202425,NAMM834015,SCUOLA SECONDARIA I GRADO,3,34,34,0,0,0
202425,PSEE83502D,SCUOLA PRIMARIA,3,1,1,0,0,0
202425,SVTH009019,SCUOLA SECONDARIA II GRADO,4,29,27,2,1,1
202425,LCMM81302D,SCUOLA SECONDARIA I GRADO,1,59,48,11,2,9
202425,BAPS01601X,SCUOLA SECONDARIA II GRADO,2,85,83,2,1,1
202425,CZPS011013,SCUOLA SECONDARIA II GRADO,1,20,20,0,0,0
202425,PCEE81102L,SCUOLA PRIMARIA,2,6,4,2,0,2
202425,MSEE81901A,SCUOLA PRIMARIA,4,20,20,0,0,0
202425,GREE830017,SCUOLA PRIMARIA,1,50,44,6,0,6
202425,APEE82101V,SCUOLA PRIMARIA,5,12,10,2,0,2
202425,CHPS007015,SCUOLA SECONDARIA II GRADO,5,27,26,1,0,1
202425,FIEE83701D,SCUOLA PRIMARIA,1,33,33,0,0,0
202425,SPRH01050G,SCUOLA SECONDARIA II GRADO,3,16,13,3,0,3
202425,LOEE80203V,SCUOLA PRIMARIA,4,15,11,4,1,3
202425,LEEE89401B,SCUOLA PRIMARIA,2,57,57,0,0,0
202425,NASD109019,SCUOLA SECONDARIA II GRADO,5,48,48,0,0,0
202425,NARM01702P,SCUOLA SECONDARIA II GRADO,3,28,28,0,0,0
202425,SIPM00202D,SCUOLA SECONDARIA II GRADO,2,74,70,4,3,1
202425,TOEE80503P,SCUOLA PRIMARIA,3,18,18,0,0,0
202425,CTTF04301X,SCUOLA SECONDARIA II GRADO,2,157,151,6,0,6
202425,PTEE81605A,SCUOLA PRIMARIA,2,6,6,0,0,0
202425,BGMM84503D,SCUOLA SECONDARIA I GRADO,2,67,56,11,2,9
202425,GEEE81502E,SCUOLA PRIMARIA,5,15,15,0,0,0
202425,POEE81002E,SCUOLA PRIMARIA,5,22,18,4,0,4
